Origin,Inflows,Outflows
BarkingandDagenham,27804,41390
Barnet,47272,86352
Bexley,26239,62403
Brent,46838,75827
Bromley,38686,77574
Camden,191077,55440
CityofLondon,310082,2227
Croydon,49714,78330
Ealing,55657,89502
Enfield,35656,66867
Greenwich,30349,57212
Hackney,48551,53525
HammersmithandFulham,73206,56300
Haringey,34165,67072
Harrow,30119,60410
Havering,28723,57271
Hillingdon,110568,52121
Hounslow,66025,60355
Islington,111643,53174
KensingtonandChelsea,75828,49660
KingstonuponThames,32950,41360
Lambeth,76650,94272
Lewisham,29494,79474
Merton,34651,63608
Newham,35873,55001
Redbridge,30880,68416
RichmonduponThames,34527,55466
Southwark,105411,71322
Sutton,28477,52076
TowerHamlets,128180,44927
WalthamForest,25782,62970
Wandsworth,57152,100700
Westminster,463858,43200
