Origin,Supply,lon,lat
BarkingandDagenham,57657,0.13352763841967827,51.54527672702171
Barnet,118436,-0.21001714928926804,51.61602714002143
Bexley,84912,0.14035463137659565,51.45881889669117
Brent,101383,-0.2678207039741596,51.55855617295114
Bromley,118739,0.05152413428935719,51.37199940387116
Camden,78187,-0.1574236394044734,51.54639448909395
CityofLondon,3689,-0.0921713876830077,51.51484463257713
Croydon,129572,-0.0871565974038605,51.35533484631486
Ealing,120845,-0.331026399881429,51.522474952594635
Enfield,101325,-0.08727168305291065,51.65099542594495
Greenwich,79805,0.05624346269193538,51.47280681647387
Hackney,69782,-0.06331617522177439,51.55226667351862
HammersmithandFulham,71927,-0.22128993586365917,51.49595376614533
Haringey,83316,-0.10746963322021294,51.59037219496058
Harrow,77669,-0.3412667887201836,51.59772267026603
Havering,85381,0.2211083133211267,51.56438719129286
Hillingdon,92299,-0.44565767276695933,51.54151318958258
Hounslow,82957,-0.367123117193133,51.468377802938036
Islington,70337,-0.11025074977498565,51.54848665493743
KensingtonandChelsea,61957,-0.19277125310270365,51.50161295027992
KingstonuponThames,57336,-0.2869004893917892,51.38790615137613
Lambeth,116105,-0.11827862696347377,51.45308930431498
Lewisham,101953,-0.020254826493463635,51.44809128722458
Merton,80066,-0.19725210527645942,51.409949699308655
Newham,75928,0.03638084371077556,51.52834520922173
Redbridge,89671,0.07586655640616004,51.585672082500565
RichmonduponThames,69403,-0.3129689747490828,51.44217435931534
Southwark,95799,-0.07460186438652824,51.47314648986328
Sutton,70449,-0.17757303825101445,51.36209028977703
TowerHamlets,65213,-0.03558769409485362,51.51717117481968
WalthamForest,85876,-0.012640136859674756,51.59403285471715
Wandsworth,123389,-0.1864432445423304,51.45135386952091
Westminster,75636,-0.16130403904664417,51.51389935684579
