Area Code,Area Name,Resident population - All people 1991,Resident population - Males 1991,Resident population - Females 1991,Population - All people 2001,Population - Males 2001,Population - Females 2001,People living in households 2001,People living in communal establishments 2001,Area in hectares 2001,Number of students away from home 2001
00AA,City of London,5473,2732,2741,7185,3832,3353,6861,324,290,67
00AB,Barking and Dagenham,153124,73412,79712,163944,78068,85876,162717,1227,3609,528
00AC,Barnet,293663,139573,154090,314564,149781,164783,310255,4309,8674,4844
00AD,Bexley,215855,104515,111340,218307,105148,113159,217262,1045,6056,1505
00AE,Brent,237106,115293,121813,263464,127806,135658,261232,2232,4324,2640
00AF,Bromley,291329,139179,152150,295532,141785,153747,292729,2803,15015,3314
00AG,Camden,170532,80238,90294,198020,95398,102622,188724,9296,2180,1654
00AH,Croydon,313110,150735,162375,330587,159111,171476,327472,3115,8652,3384
00AJ,Ealing,278596,135044,143552,300948,147563,153385,298269,2679,5553,2951
00AK,Enfield,257323,123920,133403,273559,130706,142853,270314,3245,8084,2424
00AL,Greenwich,206418,98448,107970,214403,102777,111626,211792,2611,4735,1417
00AM,Hackney,181164,86907,94257,202824,97003,105821,201215,1609,1906,1366
00AN,Hammersmith and Fulham,147748,69308,78440,165242,78993,86249,163184,2058,1640,1558
00AP,Haringey,201985,97385,104600,216507,103666,112841,214377,2130,2959,1931
00AQ,Harrow,201234,96818,104416,206814,99953,106861,205099,1715,5047,3183
00AR,Havering,229259,111056,118203,224248,107957,116291,222568,1680,11227,1480
00AS,Hillingdon,231896,113296,118600,243006,117461,125545,238777,4229,11570,2166
00AT,Hounslow,201393,98470,102923,212341,104239,108102,210519,1822,5599,2120
00AU,Islington,163902,77681,86221,175797,84229,91568,172262,3535,1486,1122
00AW,Kensington and Chelsea,139329,65458,73871,158919,75959,82960,155435,3484,1213,2237
00AX,Kingston upon Thames,133268,64293,68975,147273,71987,75286,143969,3304,3725,1857
00AY,Lambeth,243444,115894,127550,266169,131152,135017,263098,3071,2682,1828
00AZ,Lewisham,231980,109722,122258,248922,119979,128943,246555,2367,3515,1463
00BA,Merton,168484,80851,87633,187908,91514,96394,186860,1048,3761,1927
00BB,Newham,211137,103326,107811,243891,119872,124019,242196,1695,3622,1336
00BC,Redbridge,219007,105572,113435,238635,115849,122786,236171,2464,5641,2443
00BD,Richmond upon Thames,163416,77695,85721,172335,83338,88997,169642,2693,5741,2832
00BE,Southwark,219170,104277,114893,244866,119817,125049,239512,5354,2885,1465
00BF,Sutton,168931,80730,88201,179768,86878,92890,178004,1764,4385,1863
00BG,Tower Hamlets,160599,79174,81425,196106,98178,97928,193987,2119,1977,755
00BH,Waltham Forest,211755,101729,110026,218341,106245,112096,216589,1752,3882,1217
00BJ,Wandsworth,252860,119620,133240,260380,123742,136638,255973,4407,3426,2707
00BK,Westminster,174842,83041,91801,181286,88807,92479,175013,6273,2148,1893
1B,Inner London,2504165,1194763,1309402,2766114,1340627,1425487,2718392,47722,31930,21382
1C,Outer London,4175167,2010629,2164538,4405977,2128166,2277811,4360240,45737,125277,44095
A,North East,2543569,1227514,1316055,2515442,1218579,1296863,2472884,42558,857319,17862
B,North West,6726861,3242575,3484286,6729764,3258954,3470810,6615672,114092,1410644,58159
D,Yorkshire and The Humber,4836625,2344179,2492446,4964833,2411944,2552889,4880728,84105,1540764,41753
E,East Midlands,3953269,1933711,2019558,4172174,2048858,2123316,4095557,76617,1560650,40729
F,West Midlands,5150193,2516647,2633546,5267308,2575111,2692197,5186248,81060,1299833,46683
G,East of England,5056184,2475093,2581091,5388140,2638335,2749805,5296534,91606,1910981,58152
H,London,6679332,3205392,3473940,7172091,3468793,3703298,7078632,93459,157208,65477
J,South East,7497730,3641129,3856601,8000645,3905155,4095490,7809823,190822,1906948,100693
K,South West,4611442,2226650,2384792,4928434,2396415,2532019,4812072,116362,2383712,57321
64,England,47055205,22812890,24242315,49138831,23922144,25216687,48248150,890681,13028060,486829
220,Wales,2835073,1370104,1464969,2903085,1403782,1499303,2859489,43596,2073210,28315
727,England and Wales,49890278,24182994,25707284,52041916,25325926,26715990,51107639,934277,15101270,515144
